,address,lat,long
221,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",37.6409296,126.6602289
222,경기도 김포시 사우중로 108 (사우동),37.623717,126.7227644
223,경기도 남양주시 경춘로 522 남양주시청 제2청사,37.610513,127.171222
224,경기도 남양주시 진접읍 해밀예당1로 30-39,37.7105065,127.1894677
225,경기도 남양주시 오남읍 양지로 47-55,37.6823474,127.2043933
226,경기도 남양주시 진접읍 봉현로 21,37.7154268,127.179882
227,경기도 동두천시 중앙로 167 (생연동),37.8966204,127.0516772
228,경기도 부천시 옥산로10번길 16,37.4942708,126.7809569
229,경기도 부천시 성오로 172,37.5283699,126.796025
230,부천시 경인옛로73,37.4800468,126.7999476
231,경기도 부천시 조마루로 170 (중동),37.4986043,126.7629514
232,경기도 부천시 소사로 327,37.4871165,126.7924167
233,경기도 부천시 호현로 489번길 28,37.4810179,126.791225
234,경기도 성남시 분당구 양현로 306,37.4110429,127.1247104
235,"경기도 성남시 중원구 금상로 137 (상대원동, 중원구보건소)",37.4421563,127.1705808
236,분당구 야탑로 59,37.4102384,127.1254535
237,"경기도 성남시 수정구 수정로 218 (신흥동, 수정구보건소)",37.4443361,127.1440796
238,경기도 성남시 수정구 수정로 171번길 10,37.4450622,127.1391
239,경기도 성남시 수정구 수정로 76,37.4398589,127.1290046
240,중원구 산성대로 476번길 12,37.4528497,127.1619932
241,경기도 수원시 권선구 호매실로 22-50 (탑동),37.2588302,126.971212
242,경기도 수원시 영통구 영통로 396 (영통동),37.2568829,127.0697108
243,"경기도 수원시 장안구 송원로 101 (조원동, 장안구구보건소)",37.3039709,127.0101225
244,경기도 수원시 팔달구 팔달산로 6 (교동),37.2714917,127.0125017
245,경기도 수원시 영통구 월드컵로 164 (원천동),37.2793927,127.0476764
246,경기도 수원시 장안구 수성로245번길 69 (정자동),37.2918917,126.9963375
247,경기도 수원시 팔달구 중부대로 93 (지동),37.2779855,127.0274271
248,경기도 수원시 팔달구 중부대로 165 (우만동),37.2781302,127.0344741
249,"경기도 시흥시 공단1대로 237 (정왕동, 센트럴 병원)",37.3369084,126.7281267
250,시흥시 복지로 57,37.4445152,126.7894932
251,경기도 시흥시 옥구천서로 337,37.3529459,126.7245975
252,경기도 시흥시 호현로 55 (대야동),37.4453012,126.7847943
253,시흥시 정왕대로 233번길  19,37.3466661,126.7401008
254,경기도 안산시 단원구 화랑로 250 (초지동),37.3210171,126.8152642
255,경기 안산시 상록구 차돌배기로1길 15,37.3015707,126.8450584
256,경기도 안산시 단원구 적금로 123 (고잔동),37.3185144,126.8249033
257,경기도 안산시 단원구 선부광장로 103,37.3340615,126.8076244
258,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",37.3167269,126.874139
259,경기도 안성시 남파로 95 (당왕동),37.0173531,127.2603668
260,경기도 안성시 시장길 58 (서인동),37.0062179,127.2709213
261,경기도 안성시 강변로74번길 18 (도기동),37.0001865,127.2698354
262,경기도 안양시 동안구 평촌대로253번길 41 (비산동),37.3929796,126.9520555
263,경기도 안양시 만안구 문예로 48 (안양동),37.3858473,126.9329473
264,경기도 안양시 동안구 관평로170번길 22 (평촌동),37.3917575,126.9620529
265,"경기도 안양시 만안구 삼덕로 9 (안양동, 안양샘병원)",37.3935234,126.924394
266,경기도 양주시 부흥로 1533 (남방동),37.785329,127.045847
267,경기도 양평군 양평읍 마유산로 17,37.4969563,127.4867157
268,경기도 양평군 양평읍 중앙로 129,37.4938653,127.5035413
269,"경기도 여주시 청심로 39, 세종여주병원 (하동)",37.301484,127.6253003
270,경기도 여주시 여흥로160번길 14 (상동),37.2945654,127.6404233
271,경기도 여주시 영릉로 22,37.2898595,127.6328965
272,경기도 연천군 전곡읍 은대성로 95,38.0234715,127.060977
273,경기도 오산시 경기동로 59 (오산동),37.1593302,127.0779761
274,경기도 오산시 밀머리로1번길 16 (원동),37.1413334,127.075277
275,"경기도 용인시 기흥구 신갈로58번길 11 (신갈동, 기흥구 보건소)",37.2726604,127.10668
276,경기도 용인시 수지구 포은대로 435 (풍덕천동),37.3222422,127.0977799
277,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",37.2737515,127.1115072
278,경기도 용인시 처인구 중부대로 1199,37.2412522,127.1774916
279,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",37.2314883,127.2114648
280,경기 용인시 기흥구 동백죽전대로 363,37.2706982,127.1482857
281,경기도 용인시 처인구 고림로 81 ,37.2403912,127.2145364
282,"경기도 의왕시 오봉로 34 (고천동, 의왕시보건소)",37.343747,126.9720917
283,경기도 의왕시 오전천로 29,37.3502814,126.9767992
284,경기도 의정부시 흥선로 142 (의정부동),37.741161,127.0425004
285,의정부시 범골로 131,37.7361922,127.039587
286,의정부시 천보로 271,37.7587045,127.0777625
287,의정부시 평화로 650,37.749733,127.0451394
288,경기도 의정부시 금신로  322,37.7453263,127.0622375
289,경기도 이천시 경충대로 2742 (관고동),37.2827618,127.4325729
290,경기도 이천시 증신로153번길 13 (증포동),37.288981,127.452349
291,경기도 파주시 후곡로 13 (금촌동),37.7563418,126.7739289
292,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",37.7550649,126.7801503
293,경기도 파주시 시청로 6,37.7579969,126.7748346
294,경기도 평택시 중앙로 338 (합정동),36.9906277,127.1204114
295,경기도 평택시 평택2로20번길 3 (평택동),36.9930388,127.0890776
296,경기도 평택시 평택로 284 (세교동),37.0084078,127.0743384
297,경기도 평택시 평택5로 56 (비전동),36.9908174,127.1119717
298,경기도 평택시 안중읍 안현로 400,36.9860645,126.9313225
299,경기도 평택시 송탄로 33 (장당동),37.048256,127.057003
300,경기도 평택시 서정로 295 (이충동),37.0656917,127.06645
301,경기도 포천시 포천로 1612 (신읍동),37.9008669,127.2012579
302,경기도 포천시 포천로 1648 (신읍동),37.9033163,127.19828
303,경기도 포천시 소흘읍 호국로 567,37.8233306,127.1387637
304,경기도 포천시 일동면 화동로 1099번길 30,37.9612463,127.3173123
305,경기도 하남시 대청로 10 (신장동),37.5393014,127.2148742
306,경기도 화성시 향남읍 발안로 5,37.1312957,126.9108361
307,경기도 화성시 향남읍 3.1만세로 1055,37.1292815,126.9045557
308,경기도 화성시 노작로 226-9,37.2070305,127.0784014
309,경기도 화성시 큰재봉길 7,37.2166284,127.0801288
310,경기 화성시 화산북로 21 ,37.2101716,127.0079849
311,경기도 화성시 남양읍 시청로160번길 46-13,37.1992313,126.8257097
312,강원도 강릉시 사천면 방동길 38,37.8184325,128.8578411
313,"강원도 강릉시 강릉대로419번길 42-  (포남동, (포남동))",37.77435,128.90735
314,"강원도 강릉시 옥가로 30-  (옥천동,30)",37.7590068,128.8998047
315,강원도 강릉시 남부로17번길 38 (내곡동),37.7428004,128.8828318
316,강원도 고성군 간성읍 수성로 30,38.377702,128.4721577
317,강원 동해시 천곡동 840,37.5228115,129.1170347
318,"강원도 동해시 하평로 26-  (평릉동, (평릉동))",37.5299417,129.1074625
319,강원도 동해시 하평로 11,37.5321225,129.106078
320,"강원도 삼척시 오십천로 418 (남양동,(남양동))",37.4403018,129.1638017
321,"강원도 삼척시 척주로 76 (남양동, 삼척시보건소)",37.4437682,129.1721897
322,강원도 속초시 교동 980(수복로 36),38.1961315,128.5759575
323,"강원도 속초시 영랑호반길 3-  (영랑동, (영랑동))",38.2164607,128.5892485
324,속초시 중앙로 11 ,38.1980014,128.5783901
325,강원 양구군 양구읍 하리 34-5 ,38.1098021,127.9901019
326,강원도 양구군 양구읍 중심로 160 (160),38.1046882,127.9911515
327,강원도 양양군 양양읍 양양로 9-5,38.0778261,128.6274095
328,강원도 영월군 영월읍 중앙1로 59,37.1864525,128.4652388
329,강원도 영월군 영월읍 하송로 44,37.1841591,128.4634872
330,강원도 원주시 일산로 20-0 (일산동),37.3490013,127.9456639
331,"강원도 원주시 원일로 139, 3층 (일산동, 건강문화센터)",37.351585,127.9467947
332,강원 원주시 서원대로 387,37.332608,127.949225
333,강원도 인제군 인제읍 인제로140번길 34,38.063355,128.168623
334,강원도 정선군 정선읍 봉양1길 145-0 ( ),37.3830727,128.6587349
335,강원도 정선군 정선읍 녹송로 33,37.3800927,128.671486
336,강원도 철원군 갈말읍 군탄리 960-2,38.1482623,127.3029437
337,강원도 철원군 갈말읍 명성로 208-0,38.1504492,127.3079502
338,춘천시 삭주로 77,37.8840791,127.7399592
339,강원도 춘천시 중앙로 135 (중앙로3가),37.875569,127.7202408
340,강원도 태백시 태백로 905 (황지동),37.1767263,128.99235
341,강원도 태백시 보드미길8,37.1040964,129.0043366
342,강원도 평창군 평창읍 노성로 11,37.3689437,128.3907514
343,강원도 홍천군 홍천읍 산림공원1길 17,37.6908303,127.8948538
344,강원도 홍천군 홍천읍 신장대로 5,37.6902033,127.8772807
345,강원 화천군 화천읍 중리 242-4 화천군보건의료원,38.107602,127.7091441
346,강원도 횡성군 횡성읍 횡성로 275-  ( ),37.4784679,127.9799525
347,강원도 횡성군 횡성읍 횡성로 379 (횡성군 종합복지타운),37.4871568,127.9844381
348,괴산군 괴산읍 동진천길 43,36.8079973,127.7966873
349,충청북도 괴산군 괴산읍 임꺽정로 116-0,36.8156252,127.7841803
350,단양군 단양읍 삼봉로 53,36.9816139,128.3503063
351,충청북도 단양군 단양읍 별곡6길 10,36.9871156,128.3687759
352,충청북도 보은군 보은읍 보은로 102-0,36.4832229,127.718118
353,충청북도 보은군 보은읍 동광길 50,36.4864382,127.7161727
354,충청북도 영동군 영동읍 대학로 106-0,36.1852368,127.7808937
355,충청북도 영동군 영동읍 반곡동길 7,36.1684963,127.7759673
356,충청북도 옥천군 옥천읍 성왕로 1195-0,36.3134813,127.5720868
357,충청북도 옥천군 옥천읍 삼양로8길 10,36.3045038,127.5701019
358,충청북도 음성군 음성읍 중앙로49,36.928825,127.6888348
359,충청북도 음성군 금왕읍 음성로1230번길 10-0,36.9974858,127.5986293
360,충청북도 제천시 숭문로 57-0 (서부동),37.138611,128.2062355
361,충청북도 제천시 의림대로 242 (청전동),37.149059,128.2155749
362,충청북도 제천시 내토로 991,37.1634681,128.233951
363,충청북도 증평군 증평읍 보건복지로 64-1 (증평군보건소),36.7743802,127.5867135
364,충청북도 진천군 진천읍 중앙북로 36,36.8585629,127.4404044
365,충청북도 진천군 진천읍 중앙북1길 11-8,36.8606303,127.4396582
366,청주시 상당구 남일면 단재로 480,36.5882551,127.5058973
367,충청북도 청주시 상당구 단재로 106-0 (영운동),36.619507,127.496538
368,충청북도 청주시 상당구 쇠내로 16-0 (금천동),36.6244786,127.4953372
369,청주시 서원구 사직대로 227,36.63769,127.469488
370,충청북도 청주시 서원구 흥덕로 48 (사직동),36.6402026,127.4730326
371,"충청북도 청주시 청원구 주성로 173-19 (주중동,청주성모병원)",36.673536,127.4856059
372,충청북도 청주시 청원구 오창읍 과학산업3로 238,36.7104121,127.4305867
373,청주시 흥덕구 비하로12번길 46,36.6301698,127.42649
374,충청북도 청주시 흥덕구 2순환로 1262-0 (가경동),36.6235047,127.4308627
375,충청북도 흥덕구 오송읍 오송생명1로 191,36.6364294,127.3216409
376,충주시 으뜸로 21,36.991105,127.926012
377,충청북도 충주시 안림로 239-50 (안림동),36.9796506,127.9706116
378,충청북도 충주시 국원대로 82-0 (교현동),36.9789801,127.9288169
379,충청남도 계룡시 장안로 54,36.2730755,127.2500591
380,충청남도 공주시 무령로 77 (웅진동),36.458987,127.1094762
381,"충청남도 공주시 봉황로 123 (교동, 공주시보건소)",36.4571174,127.1206564
382,충청남도 금산군 금산읍 비단로 183,36.1040385,127.4961495
383,"충청남도 금산군 금산읍 금산로 1559, 0동",36.112166,127.4916269
384,충청남도 논산시 시민로294번길 14 (취암동),36.192193,127.0944739
385,충청남도 논산시 논산대로 382 (관촉동),36.1960773,127.1035648
386,충청남도 당진시 반촌로 5-15 (시곡동),36.9044521,126.6843802
387,충청남도 당진시 서부로 56 (채운동),36.8873474,126.6304535
388,충청남도 보령시 남포면 보령남로 234,36.3243627,126.6021041
389,충청남도 보령시 죽성로 136 (죽정동),36.3811282,126.6228522
390,충청남도 부여군 부여읍 계백로 200,36.2755745,126.9017016
391,충청남도 부여군 부여읍 성왕로 205,36.2830643,126.9093539
392,충청남도 부여군 부여읍 사비로 78,36.2796,126.910825
393,충청남도 서산시 중앙로 149 (석림동),36.7755835,126.4652578
394,"충청남도 서산시 호수공원6로 6 (예천동, 서산시보건소)",36.7744661,126.444567
395,충청남도 서천군 서천읍 서천로 184,36.08452,126.6876024
396,충청남도 서천군 서천읍 사곡길 26,36.0823766,126.6897145
397,충청남도 아산시 문화로 381 (모종동),36.7792648,127.0198062
398,충청남도 아산시 번영로 224번길 20 아산시보건소 ,36.7825669,127.0146097
399,충남 아산시 시민로 388,36.7831143,127.0009756
400,충청남도 예산군 예산읍 금오대로 94,36.6910744,126.8379717
401,"충청남도 예산군 예산읍 군청로 22, 예산군청",36.6808995,126.8447382
402,충청남도 천안시 동남구 버들로 34 동남구보건소 ,36.8074549,127.1512772
403,"충청남도 천안시 동남구 순천향6길 31 (봉명동, 5동 (봉명동,순천향대학교병원))",36.8027381,127.1358588
